證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
8462,柏文,102044,114,25151824,246,249,244,246,+,1,246,3,246.5,6,31.02
8463,潤泰材,15000,14,376950,25.2,25.2,25.1,25.1, ,0,25.1,4,25.15,2,31.77
8464,億豐,448611,351,98310309,217,221,215.5,219.5,+,0.5,219,2,219.5,16,16.73
8466,美吉吉-KY,20078,21,1383521,68.9,69.1,68.7,69.1,+,0.5,68.7,2,69.2,1,12.02
8467,波力-KY,15000,15,629250,42.45,42.7,41.5,42,+,0.3,41.8,1,42,17,14.79
8473,山林水,261613,157,13695995,52.4,52.7,51.6,52.7,-,0.1,52.2,1,52.8,11,23.95
8478,東哥遊艇,41000,32,1654700,39.7,40.95,39.5,40.6,+,0.9,40.5,1,40.75,1,25.53
8480,泰昇-KY,62250,44,7678250,126,126,122,122,-,4,120.5,1,123,3,16.9
8481,政伸,51000,34,3064700,60.2,61,59.8,61,+,1.1,59.9,2,61,1,17.38
8482,商億-KY,48000,30,6648500,140,140,137.5,137.5,-,2.5,137,10,139,18,15.09
8488,吉源-KY,14000,9,219200,15.65,15.8,15.6,15.8, ,0,15.65,3,15.8,2,0
8497,格威傳媒,6000,6,294150,49.15,49.15,49,49,-,0.15,49,2,49.5,2,10.12
8499,鼎炫-KY,52100,48,4965420,96.5,96.8,94.5,94.7,-,1.8,94.7,7,95,1,10.95
8926,台汽電,610562,247,16552501,27.15,27.2,27.05,27.1,-,0.05,27.1,1,27.15,17,18.56
8940,新天地,17000,13,207800,12.25,12.35,12.2,12.35,+,0.05,12.2,6,12.35,7,0
8996,高力,75200,65,3150850,43.1,43.1,41.1,41.5,-,1.2,41.5,6,41.85,4,13.39
9103,美德醫療-DR,266000,20,273380,1.02,1.04,1.02,1.03,+,0.01,1.02,238,1.03,36,0
910322,康師傅-DR,345000,11,8481650,25,25,22.25,24.6,X,0,24.2,1,24.6,1,0
910482,聖馬丁-DR,999,2,278,--,--,--,--, ,0,0.3,30,0.31,44,0
9105,泰金寶-DR,881314,93,2088783,2.38,2.38,2.36,2.37, ,0,2.36,417,2.37,31,0
910708,恒大健-DR,0,0,0,--,--,--,--, ,0,1555,1,1680,1,0
